,tweets,target
30,Woman Toys With Idea Of Getting Sister Something Nice They Can Do Together As Gift Before Settling On Candle… ,1
31,‘Marvelous Mrs. Maisel’ Cast Members Clock Into Amazon Warehouse For Mandatory Black Friday Overtime Shift… ,1
32,The Onion Store is open on Black Friday so that our employees have an excuse to leave their families. Save 15% usin… ,1
33,Half-Dressed Man Frantically Scrambles Out Of Home After Hearing Toyotathon Deals Won't Last Long… ,1
34,Thanksgiving Affords Nation Rare Opportunity To Eat Large Amounts Of Food While Watching Football… ,1
35,93-Year-Old Grandmother At Thanksgiving Worried This Last Time She Sees Fuck-Up Grandson Before He Dies… ,1
36,Parents Officially Designate Upstairs Television For Anyone Who Doesn’t Want To Watch Thanksgiving Football… ,1
37,Mom Dishing Up Her Famous Comments About Your Body This Thanksgiving  ,1
38,Everyone At Thanksgiving Doing Chore To Get Away From Rest Of Family  ,1
39,Weird Wooden Chair Pressed Into Service For Thanksgiving  ,1
40,Grandma Concerned About Dinner Roll Count  ,1
41,"‘Let’s All Say What We’re Grateful For,’ Says Mother Who Apparently Believes She’s In A Norman Fucking Rockwell Pai… ",1
42,Child Decides To Become Vegetarian After Forming Close Friendship With Roasted Turkey Leg  ,1
43,Macy’s Concludes Thanksgiving Day Parade With Traditional Procession Of Santa’s Coffin  ,1
44,Thanksgiving Conversation Devolves Into Just Stating Things Dog Is Currently Doing  ,1
45,Man Pissed After Becoming Trapped In Macy’s Thanksgiving Day Parade While Out Walking Giant Pikachu Balloon… ,1
46,Younger Cousin’s Growth Spurt Throws Off Competitive Balance At Family’s Thanksgiving Touch Football Game… ,1
47,Thousands Of Rats Tumble About Uncontrollably Inside Snoopy Balloon High Above Thanksgiving Day Parade… ,1
48,Nation's Uncles Enter Last Stage Of Prep For Thursday's Thanksgiving Debates  ,1
49,"For the latest from the world’s most unstoppable media juggernaut, visit  ",1
50,26-Year-Old To See Every Asshole He Ever Went To High School With On Night Before Thanksgiving… ,1
51,"""I spent a little more than I usually do, but I really think it compliments my figure."" ",1
52,Ovechkin Shanks Slapshot Into Stands After Unruly Fan Coughs During Backswing  ,1
53,Humane Society Urges Americans To Opt For Shelter Turkey This Thanksgiving  ,1
54,Mantra Advising Group senior financial strategist Peter Katz noted that even low-earning workers could acquire a sm… ,1
55,Siblings Gather Around PowerPoint To Hash Out Off-Limits Topics For Thanksgiving  ,1
56,"New Sip-And-Weld Studio Provides Opportunity To Drink Wine, Create Own Masterpiece With Blowtorch… ",1
57,Self-Loathing Slowly Morphing Into Pride As Man Consumes 36th Pig In A Blanket  ,1
58,Man Worried Partner Hasn’t Been Attracted To Him Ever Since He Got Head Stuck In Fence  ,1
59,Timeline Of Online Advertising  ,1
60,"‘Just Be Honest If This Looks Good,’ Girlfriend Wearing New Big Bird Outfit Asks Panicking Boyfriend… ",1
61,"Computer Not Looking Forward To Having To Replace Man's Repetitive, Mindless Job  ",1
62,Financial Experts Recommend Americans Set Aside Giant Mesmerizing Pearl To Rub Obsessively In Retirement… ,1
63,Coal Production Shows Record Declines In 2019  #WhatDoYouThink? ,1
64,Laptop Gets To Age When It Can Be Lightly Tossed Sometimes  ,1
65,Alaskan Gray Wolf Can't Believe No One Told Him He’s Got Snow On Nose  ,1
66,Man At Airport Pissed That Other People Had Same Idea To Go Home For Thanksgiving  ,1
67,New Audubon Report Finds 78% Of Female Birds Sexually Harassed By Stranger Exposing Colorful Plumage… ,1
68,"To see more unmatched reporting, visit  ",1
69,Older Cousin Thinks It About Time To Have Uninformed Sex Talk With Area 8-Year-Old  ,1
70,"""Jesus Christ, every fucking night I relive this horrible atrocity."" ",1
71,McDonald's Prints Calorie Count Right Onto Meat  ,1
72,Supreme Court Denies ‘Serial’ Subject Hearing  #WhatDoYouThink? ,1
73,Family With 2-Hour Layover Sets Up Rough Shantytown At Airport Gate  ,1
74,"""When I look at what the opioid people were able to make off the epidemic, I admit I can’t help but wonder."" ",1
75,Soccer Cleats Resume Rightful Place Beside Broken Ball Pump In Family’s Garage For Winter  ,1
76,Eddie Gallager Wakes Up In Cold Sweat After Nightmare About Watching Innocent Iraqi Women Minding Their Own Busines… ,1
77,Pope Condemns Nuclear Weapons In Hiroshima  #WhatDoYouThink? ,1
78,‘Do You Mind If I Put You In My TikTok?’ Asks Younger Cousin About To Ruin Your Life  ,1
79,Tips For Staying Healthy During The Holiday Season  ,1
80,Ant Flees Across State Line Carrying Big Crumb  ,1
81,Nation’s Long-Haired Old Men In Flowy Linen Shirts Announce You Are Loved  ,1
82,"This Week's Editorial Cartoon: ""Truth or Derelict""  ",1
83,Johnson &amp; Johnson CEO Idly Wonders How Much Money He’d Make Off National Tylenol Epidemic  ,1
84,"Your Horoscopes — Week Of November 26, 2019  ",1
85,Butterball Releases New Travel-Size Turkey  ,1
86,Area Man Nervously Asks Girlfriend If She’ll Settle  ,1
87,Variety Of Unsustainable Business Models Make Up Extremely Hip Neighborhood  ,1
88,"For more exemplary journalism, visit  ",1
89,Study Finds Dogs Twitching In Sleep Are Dreaming About Tearing Owners Limb From Limb  ,1
90,Parents Of Adorable Baby On TV Show Most Likely Insane  ,1
91,"“God, it’s something with an ‘R’...Richard? I wanna say Richard?” ",1
92,KFC Introduces New Previously Owned 20-Piece Hot Wings  ,1
93,Dad Receives Advance Intelligence On Visiting Son’s New Eyeliner  ,1
94,"""When he declared that from the beginning of his tenure we would only make our food with the finest local meats and… ",1
95,Devin Nunes Involved In Push For Ukraine Biden Investigation  #WhatDoYouThink? ,1
96,6-Year-Old Shits Out Half-Assed Hand Turkey  ,1
97,Mitt Romney Retires To Fainting Couch After Suggesting Trump May Be Acting Ignobly  ,1
98,Facial Recognition Software Knows It Has Seen Man Before But Can’t Remember His Name  ,1
99,Celebrate ‘Attack On Titan’ With These Incredible Fan Drawings Of Eren Yeager That Have Nothing Whatsoever To Do Wi… ,1
100,Terrifying New Therapist Asks Why You Chose That Chair  ,1
101,"Typical American Teen Struggles To Balance Demands Of School, Pansexual Orgies, And Drug Raves… ",1
102,Disney Attempts To Soften Corporate Image By Introducing New Baby Bob Iger  ,1
103,"Groundbreaking Chef Transforms Culinary World With Choice To Use Fresh, High-Quality Ingredients… ",1
104,Coldplay To Skip Tour Due To Environmental Concerns  #WhatDoYouThink? ,1
105,Millionaire Pays For Breast Implants For Rolls Royce Hood Ornament  ,1
106,Director Has Clear Vision Of How Studio Will Destroy Movie  ,1
107,OfficeMax Employee Was Here When Gel Pens Were Big  ,1
108,Study Exposes Risks Of Conducting Research While Driving  ,1
109,Trump Honors War Criminal With Presidential String Of Human Ears  ,1
110,Study Links Adult-Male Smiling To Extremely Overweight Men Scoring Touchdowns  ,1
111,‘Frozen 2’ Creators Confirm That Elsa Gay But Also Trans-Exclusionary Radical Feminist  ,1
112,Girlfriend's Dad Pretty Hot  ,1
113,"Sweating, Grunting Mike Pence Straining To Rapture Himself Before Impeachment Inquiry Goes Any Further… ",1
114,Area Dad Needs More Time With Museum Plaque  ,1
115,Impassioned Fan Base Just Drunk  ,1
116,Trump Tries To Doxx Impeachment Inquiry By Tweeting Address Of Capitol Building  ,1
117,Swiss Guard Charge Writhing Mass Of Black Tentacles Devouring Pope Francis  ,1
118,"‘I’ll See You In Hell,’ Says Giuliani Slamming Door On Spirit Of St. Louis In Smithsonian Exhibit… ",1
119,Roomba Thrown Out Of Home After Being Caught Staring At Sleeping Daughter  ,1
120,Cory Booker Taken Aback To Find Dozens Of Pictures Of Himself On Buttigieg Campaign Flyers  ,1
121,Disney Unveils First Virgin Princess  ,1
122,Supercuts Now Offering To Give Customers Baths For $14.99  ,1
123,"This Week's Editorial Cartoon: ""Bin There, Done That""  ",1
124,Trump Declares He’s Healthier Than Ever While Addressing Rally Crowd From Iron Lung  ,1
125,Middle-Aged Couple Sick Of 31-Year-Old Son Always Trying To Set Them Up With Other Parents  ,1
126,Buttigieg Campaign Appeals To Moderate Republicans By Touting Low Approval Among Black Voters… ,1
127,Annual Teeth Cleaning Reveals Three Previously Unnoticed Rows Of Teeth  ,1
128,"For more world-renowned reportage, visit  ",1
129,Report: 38% Of Road Trips End With Burying Friend In Shallow Grave In Desert  ,1
130,"""I know that’s a lot of dimes, hope that’s okay."" ",1
131,Frightened Don Jr. Asks If He Can Sleep In Dad’s Bed After Bad Dream About Being Indicted  ,1
132,“We believe the best way for a woman to take control of her future is to take control of her past.” ,1
133,Blue Angels Hold First-Ever Open Tryouts  ,1
134,Report Confirms That Being Unable To Keep Track Of Mass Shootings Technically Counts As Not Giving Attention To Sho… ,1
135,"""My beloved friends, you have completed the tasks I have assigned to you and are now ready to know the truth, which… ",1
136,Israeli Prime Minister Indicted  #WhatDoYouThink? ,1
137,DNC Server Celebrates Escape From U.S. Jurisdiction Surrounded By Bikini-Clad Women On Yacht In Black Sea… ,1
138,"On This Day In History: November 22, 1963  ",1
139,Kyrie Irving Debuts Signature Shoe Inspired By RFID Chips Government Secretly Implants In Anesthetized Patients… ,1
140,This Week's Onion Magazine:  ,1
141,Child Wondering Why Older Brother Only One To Get Funeral  ,1
142,"Yes, Gandhi’s ‘Civilization VI’ Outfit Is Sexy, But It Would Be Seriously Impractical On A Real Battlefield… ",1
143,"‘I Could Spare Some Change,’ Says Man About To Become Buttigieg Campaign’s Top Black Donor  ",1
144,Man Checking If Chicken Wings Got Hot Enough In Microwave Like First Responder Searching For Pulse… ,1
145,Veterinarian Wishes Owner Would Just Let Dog Answer One Goddamn Question  ,1
146,The Worst Snowstorms In U.S. History  ,1
147,Plan B Unveils New Line Of Space-Time Wormholes To Prevent Intercourse From Ever Happening  ,1
148,"Smiling, Knife-Wielding Marie Kondo Orders Followers To Leave Behind Cluttered Physical Forms… ",1
149,Lawsuit Claims Burger King Impossible Burgers Contaminated With Meat  #WhatDoYouThink? ,1
150,Nation Admits Being So Coked-Out In ’80s They Have No Memory Of Reading ‘Cujo’  ,1
151,"Area Man Can Remember Exactly Where He Was, What He Was Doing When He Assassinated John F. Kennedy… ",1
152,New Pre-Sauced Napkins Can Be Thrown Away Straight From Package  ,1
153,Overweight 6-Year-Old Vows To Change Lifestyle After Second Heart Attack  ,1
154,Visit  to see more from the standard bearer of global journalism. ,1
155,Perverted Wall Gets Off On Making Apartment Guests Look At Exposed Brick  ,1
156,"“You can do this, just think pious thoughts and you’ll be halfway to Heaven long before they can uncover anything e… ",1
157,"Area Man, Woman Each Have Thorough List Of Why They Should Break Up On Standby  ",1
158,Invasive Restaurant Franchise Spreads To Third State  ,1
159,"""We’re excited to finally share with fans that Queen Elsa is indeed Disney’s first lesbian princess as well as an a… ",1
160,Sondland Testifies He Pressured Ukraine Into Biden Investigation  #WhatDoYouThink? ,1
161,Highlights Of The Fifth Democratic Debate ,1
162,Only Person Who Ever Truly Saw World For What It Is Starts Antidepressant Medication  ,1
163,Trump Honors War Criminal With Presidential String Of Human Ears  ,1
164,Congress Approves $3 Billion In Military Aid For Netanyahu To Defend Self Against Israeli Justice System… ,1
165,From The Archives: Victoria's Secret Fashion Show A Hit Among People Who Don't Know That Pornography Exists… ,1
166,Matthew Stafford Admits He’d Play Through Back Injury For Better Team Than Lions  ,1
167,Democrats Hold Fifth Presidential Debate  #WhatDoYouThink? ,1
168,Gabe Newell Reveals To ‘Half-Life’ Fans That They Are In Hell And He Is Their Devilish Master… ,1
169,DNC Server Celebrates Escape From U.S. Jurisdiction Surrounded By Bikini-Clad Women On Yacht In Black Sea… ,1
170,"Sweating, Grunting Mike Pence Straining To Rapture Himself Before Impeachment Inquiry Goes Any Further… ",1
171,"‘I’ll See You In Hell,’ Says Giuliani Slamming Door On Spirit Of St. Louis In Smithsonian Exhibit… ",1
172,Nation Leery Of Very Odd Little Boy  ,1
173,5 Things To Know About ‘A Beautiful Day In The Neighborhood’ ,1
174,‘Frozen 2’ Creators Confirm That Elsa Gay But Also Trans-Exclusionary Radical Feminist  ,1
175,Humiliated Man Discovers Embroidery On His Jean Pockets  ,1
176,Report: More Colleges Offering Dick-Around Abroad Programs  ,1
177,Surgeon General Recommends Twisting Head Far Enough Until You Hear Little Pop  ,1
178,Man Thinking About Just Packing Up And Making Exact Same Mistakes Someplace Far Away  ,1
179,"For the latest from the world’s most unstoppable media juggernaut, visit  ",1
180,Clippers Ask Everyone To Keep It Down While They Rest Kawhi Leonard  ,1
181,Biden Complains Moderators Keep Giving Him Ample Time To Speak  ,1
182,"""It would have been nice if someone from the Buttigieg team had reached out to me before they plastered my face all… ",1
183,Two Charged In Epstein Death  #WhatDoYouThink? ,1
184,Friendly Cashier Persona Briefly Dropped To Address Trainee  ,1
185,'How Bad For The Environment Can Throwing Away One Plastic Bottle Be?' 30 Million People Wonder… ,1
186,"‘Hey, Are You Gonna Let Me Talk?’ Shouts Rudy Giuliani Debating Fox News Recap Of Sondland Testimony… ",1
187,Awesome Tie-In: Thousands Of Dock Workers Across America Have Been Driving Forklifts As An Apparent Shadow Promotio… ,1
188,"""Honestly, nobody—and I mean nobody—ever gives me so much as a second glance here.""  ",1
189,Robust UTI Culture The Closest Woman Going To Get To Bringing Life Into World  ,1
190,Bengals Assure Injury Prone Tua Tagovailoa He Can Have Any Of Andy Dalton's Organs  ,1
191,Trump Tries To Doxx Impeachment Inquiry By Tweeting Address Of Capitol Building  ,1
192,Health Department Gives Tyson Plant ‘D’ Grade After Discovering Raw Chicken Contaminating Nearly Every Surface… ,1
193,Biggest Revelations From The Anonymous Trump Official’s New Book  ,1
194,"‘I Yield The Remainder Of My Time To You, The Viewer At Home,’ Says Adam Schiff During Impeachment Hearing Before S… ",1
195,Cory Booker Taken Aback To Find Dozens Of Pictures Of Himself On Buttigieg Campaign Flyers  ,1
196,Ornithologists Awarded $10 Million Grant To Research Whether That Big Bird Up There A Hawk  ,1
197,Chick-Fil-A Ending Donations To Anti-LGBTQ Organizations  #WhatDoYouThink? ,1
198,Area Man Treats Girlfriend To Sumptuous 20-Second Massage  ,1
199,Man’s Area Code Provides Exciting Glimpse At Past Life  ,1
200,MTA Reveals They Have No Idea Where Voices Speaking To Everyone On Subway Coming From  ,1
201,Report: Seasonal Depression Still Better Than Purchasing Tiny Sunshine Lamp  ,1
202,"""These findings suggest that this now-classic modernist novel might never have had the same impact if Hemingway’s d… ",1
203,Speakeasy Patrons Apparently Unaware It Legal To Go To Regular Bars Again  ,1
204,"To see more unmatched reporting, visit  ",1
205,Cryptic New Laundry Room Rule Hints At Tale Of Bizarre Infraction  ,1
206,"""Not since the implementation of DNA profiling in the 1980s have we equipped our investigators with such a powerful… ",1
207,L’Oreal Suspends Production Of Irresistible 2-Step Lip Color Stick After Lab Rat Seduces Way Out Of Facility… ,1
208,5 Things To Know About ‘Frozen II’  ,1
209,Video Game Boss Thinking He Should Get Big Glowing Weak Spot On Back Checked Out  ,1
210,Kanye West Debuting Opera  #WhatDoYouThink? ,1
211,From The Archives: Bloomberg Defends NYPD’s Controversial Stop And Kiss Program  ,1
212,Report Confirms That Being Unable To Keep Track Of Mass Shootings Technically Counts As Not Giving Attention To Sho… ,1
213,"Literary Historians Discover Hemingway’s Dad Bulk Purchased 70,000 Copies Of ‘The Sun Also Rises’ To Get Son On Bes… ",1
214,FBI Solving 80% More Cases After Getting Great Big Magnifying Glass  ,1
215,Bloomberg Apologizes For Stop And Frisk  #WhatDoYouThink? ,1
216,"‘Reflationary Boom Incapable Of Helping U.S. Bond Market Recovery,’ Announces Finance Article That Actually About Y… ",1
217,"This Week's Editorial Cartoon: ""Bin There, Done That""  ",1
218,Jim Jordan Arrives In Congress Displaying Even More Casual Look  ,1
219,"Your Horoscopes — Week Of November 19, 2019  ",1
220,Loyal Driveway Patiently Waiting For Owner To Return From Work  ,1
221,Metropolitan Museum Acquires Another Vase  ,1
222,Man Wearing Cobra Command Shirt Missed The Whole Point Of ‘G.I. Joe’  ,1
223,Archaeologists Apologize For Murdering Last Remaining Neanderthal In Fit Of Crazed Bloodlust  ,1
224,"For more exemplary journalism, visit  ",1
225,"Report: Holy Shit, There Still 50 Minutes Left In Movie  ",1
226,Mom Holds Knife To Throat Of Dinner Guest Who Offered To Help With Dishes  ,1
227,The 30-second TV spot for @PeteButtigieg features polling data illustrating how poorly he tracks in urban areas and… ,1
228,"On This Day In History: November 18, 1920  ",1
229,"""Oh, God. Where is that thing? I looked away for one second and it disappeared."" ",1
230,Carlos Santana Surprises Wife With Coupon For Free 45-Minute Guitar Solo  ,1
231,Pete Buttigieg Jumps To First Place In Iowa  #WhatDoYouThink? ,1
232,Amount Of Water Man Just Used To Wash Dish To Be Prize Of Hand-To-Hand Combat Match In 2065  ,1
233,British Media Harshly Condemns Meghan Markle For Prince Andrew’s Defense Of Jeffrey Epstein  ,1
234,Biologists Recommend Trees Put Aside A Little Phosphorus For Unexpected Emergencies  ,1
235,Trump Declares He’s Healthier Than Ever While Addressing Rally Crowd From Iron Lung  ,1
236,Anonymous Philanthropist Donates 200 Human Kidneys To Hospital  ,1
237,Buttigieg Campaign Appeals To Moderate Republicans By Touting Low Approval Among Black Voters… ,1
238,"New ‘Watchmen’ Series Features Bearded, Pretentious Graphic Novelist Constantly Complaining About How New Character… ",1
239,"‘I’m In Witness Protection—I Mean, Doctor, I Work At Doctor,’ Says New Neighbor  ",1
240,Safety Experts Recommend Shouting ‘Free Donuts’ Instead Of ‘Rape’ To Receive Help More Quickly… ,1
241,Chinese Users Employing PornHub To Criticize Hong Kong Protesters  #WhatDoYouThink? ,1
242,Spider Panics After Losing Track Of Human It Noticed Scurry Across Floor  ,1
243,Devin Nunes Threatens Defamation Lawsuit After Reputation Ruined By His Official Twitter Account… ,1
244,Report: Underfunded Public Schools Lacking Basic Support Systems Leave Students Perfectly Prepared For Rest Of Life… ,1
245,Man Sleeps Through His Stop On Elevator  ,1
246,Seed Of World War III Planted In Beijing Middle-School Gym Class  ,1
247,Mother Feels A Little Validated After Daughter Who Stayed Out Late Gets Murdered  ,1
248,Widow Still Can’t Bring Herself To Get Rid Of Husband’s Corpse  ,1
249,Bears Fans Jealous Of Soldier Field Security Guards With Back To Game  ,1
250,Guy Who Had Least To Do With Play’s Success Celebrating The Most  ,1
251,Yovanovitch Testifies That She Was Removed To Make Way For Corrupt Back Channel But Gets If No One Cares About Anyt… ,1
252,"Deval Patrick Acquires High Favorability Numbers, Good Iowa Polling After Leveraged Buyout Of Buttigieg Campaign… ",1
253,Glade Releases New Spray To Make Home Smell Like Patriots Locker Room  ,1
254,Paraguay Panics After Discovering Rich Deposit Of Natural Resources  ,1
255,Fox Preempts Jets-Redskins Game In First Quarter For More Exciting Shot Of Empty ‘NFL Sunday’ Studio… ,1
256,Osprey Devours Lion In Massive Food-Chain Shake-Up  ,1
257,Disney Plus Apologizes For Apparently Being All That Some Actual Adults Have  ,1
258,Tale Of How Woman Started Making Earrings Out Of Scrabble Tiles Even More Spellbinding Than Anticipated… ,1
259,"Tiny, Rejuvenated Jimmy Carter Emerges From Pile Of Ashes After Aged Ex-President Bursts Into Flames… ",1
260,Food Critic Tears Radish Canapés With Salmon Mousse A New Asshole  ,1
261,Sean Spicer Takes Job In Trump Administration To Help Public Forget Humiliating ‘Dancing With The Stars’ Tenure… ,1
262,Recently Divorced 40-Year-Old Struggling To Navigate College Dating Scene   ,1
263,Miscalculating Contestant Rushes To Cross Out ‘Fuck Alex Trebek’ Final Jeopardy Answer After Seeing Goodwill From P… ,1
264,Dad Reaches Age Where It's No Longer Enjoyable To Make Fun Of How Old He Is  ,1
265,"This Week's Editorial Cartoon: ""Mean Tweets""  ",1
266,"Nation’s Tourists Announce Plans To Form Circle, Clap Hands Around Guys Doing Flips And Stuff… ",1
267,Dalai Lama Triumphantly Names Successor After Discovering Woman With ‘The Purpose Of Our Lives Is To Be Happy’ Twit… ,1
268,"""Even if we do prove the president is guilty of high crimes, so what? It’s not like there are rules anymore. Frankl… ",1
269,Candlelight Vigilante Takes Commemorating Into Own Hands  ,1
270,"For more world-renowned reportage, visit  ",1
271,Fire Chief Grants Fireman 3-Day Extension On Difficult Fire  ,1
272,Grandma Happy To Babysit While Couple Desperately Attempts To Rekindle Relationship  ,1
273,Historians Still Unable To Determine How Americans Were Able To Build Hoover Dam  ,1
274,Pelosi Suggests Trump Committed Bribery  #WhatDoYouThink? ,1
275,"Unclear Which Beach House Song This Is, Reports Lead Singer Of Beach House  ",1
276,How Political Ads Are Made  ,1
277,Colin Kaepernick’s Agents Assure Teams His CTE Has Progressed Just As Much As Other Players Over 3-Year Hiatus… ,1
278,"‘Jedi Fallen Order Is A Star Wars Game Through And Through,’ And 8 Other Lines Of Praise Electronic Arts Strongly S… ",1
279,Flu Outbreak Reduces Class Sizes To Level Appropriate For Learning  ,1
280,NFL Rescinds Myles Garrett Suspension After Review Footage Clearly Shows Mason Rudolph’s Punchable Fucking Face… ,1
281,Report: Some Company Called Scampr Already Lost $12.5 Billion At Launch And Has Gone Bankrupt… ,1
282,Disappointing: Microsoft Confirmed That Project Scarlett Is Actually Just A Brothel They’re Building In Thailand Wh… ,1
283,Yovanovitch Testifies That She Was Removed To Make Way For Corrupt Back Channel But Gets If No One Cares About Anyt… ,1
284,Full Trump Transcript Includes 37 Pages Of Confused President Mashing Fingers Against Dial Pad While Ukrainian Pres… ,1
285,Tips For Playing ‘Pokémon Sword And Shield’  ,1
286,This Week's Onion Magazine:  ,1
287,Six Flags Unsure If They Need To Apologize For Parkgoer Who Managed To Get Decapitated By Bumper Cars… ,1
288,Trump Admits He Assumed Roger Stone Was Already In Prison  ,1
289,"Health Experts Recommend Standing Up At Desk, Leaving Office, Never Coming Back  ",1
290,More Americans Now Surviving Lung Cancer  #WhatDoYouThink? ,1
291,Sudden Computer Restart Vomits Up Bilious Mess Of Unsaved Documents On Screen  ,1
292,Man Who Cried Himself To Sleep Last Night Has Some Great Ideas For Growing Company's Brand  ,1
293,Insect With Limitless Flying Space Rockets Straight For Man’s Pupil  ,1
294,Turkish Actor Thinks He's Cüneyt Fucking Arkin  ,1
295,Brutalized Toothbrush Wishes Owner Would Just Let It Die  ,1
296,"""Now, I’m just going to assume that any characters I meet in my quest might have run up to a playground full of chi… ",1
297,Roommates Assured Girlfriend Only Staying Over For Entire Duration Of Relationship  ,1
298,Visit  to see more from the standard bearer of global journalism. ,1
299,Paper Bag Removed For National Anthem  ,1
300,Chinese Buffet Has French Fries  ,1
301,5 Things To Know About ‘Charlie’s Angels’ ,1
302,Magnanimous MLB Awards MVP To Hardworking Stadium Concession Staffers  ,1
303,"""Come on, Mikey, snap out of it…stand up, walk over there, just pull the door open, and you’ll be free."" ",1
304,Area Man Loads Up On Half-Priced Armistice Day Candy  ,1
305,Venice Facing Worst Flood Tide In Years  #WhatDoYouThink? ,1
306,Trump Voter Feels Betrayed By President After Reading 800 Pages Of Queer Feminist Theory  ,1
307,‘Washington Post’ Impeachment Critic Gives Insipid Day One Inquiry 2 Out Of 5 Andrew Johnsons… ,1
308,Woman Knows Husband Just Acting Affectionate Because He Wants Food  ,1
309,Pope Francis Bags 6-Winged Trophy Angel During Vatican’s Annual Seraphim Hunt  ,1
310,"Deval Patrick Acquires High Favorability Numbers, Good Iowa Polling After Leveraged Buyout Of Buttigieg Campaign… ",1
311,Paralyzed Mike Pence Lies Against Bathroom Wall For Hours After Encountering Doorknob That Looks Like Female Breast… ,1
312,Husband Returning Late At Night Accidentally Killed By Frightened Google Home  ,1
313,Girlfriend Must Have Been Drinking When She Texted Picture Of Knitted Scarf At Midnight  ,1
314,‘Pokémon’ Fans Are Up In Arms With Game Freak’s Refusal To Include A National Sex Offender Registry In ‘Sword and S… ,1
315,Amazon Launching Own Grocery Store  #WhatDoYouThink? ,1
316,Man Trying To Get Out Of Executioner Duty  ,1
317,Police Department Deploys Fancyclothes Cop  ,1
318,Man On Internet Almost Falls Into World Of DIY Mustard Enthusiasts  ,1
319,Escaped Caterpillar On Rampage Through City  ,1
320,Businessman Does His Work Lying On Bed Like Schoolgirl  ,1
321,"""What great timing."" ",1
322,Brutal Arctic Blast Sweeping Across Country  #WhatDoYouThink? ,1
323,"For the latest from the world’s most unstoppable media juggernaut, visit  ",1
324,Fan Wishes Team Was Sponsored By A Cooler Corporation  ,1
325,CEO Jeff Bezos noted that by allowing drivers to wildly careen down the street flinging packages at doors as they w… ,1
326,Ruth Bader Ginsburg Debating Whether To Cancel Winter Vacation Climbing K2  ,1
327,5 Things To Know About Nikki Haley ,1
328,Girlfriend To Stay Underneath Blanket For Next 5 Months  ,1
329,"Precocious 5-Year-Old Already Holding Long, Pointless Business Meeting With Stuffed Animals  ",1
330,Public Phase Of Impeachment Hearings Begin  #WhatDoYouThink? ,1
331,"This Week's Editorial Cartoon: ""Mean Tweets""  ",1
332,Crack Of Gunfire Resounding Through Office Gives Woman Perfect Cover She Needs To Bite Into Crisp Apple… ,1
333,Police Officer On Desk Duty Placed On Empty-Room Duty After Brutally Beating Drawer  ,1
334,Paraguay Panics After Discovering Rich Deposit Of Natural Resources  ,1
335,Busboy Father Works Hard Every Day To Take Food Off The Table For His Family  ,1
336,Sacramento Pledges To Power Arena With 100% Windmill Dunk Energy By 2030  ,1
337,Amazon Encourages Drivers To Deliver Packages Faster By Strapping Cinder Block To Truck’s Accelerator… ,1
338,Features Of Disney Plus  ,1
339,Company More Like Family Whose Members Are Desperate To Join Better Family  ,1
340,Report Finds Children Of Parents Often Become Parents Themselves  ,1
341,Weak Little Man Asks For Help  ,1
342,Buddy Sneaks Into Chest X-Ray  ,1
343,"To see more unmatched reporting, visit  ",1
